Transaction_date,Product,Price
1/2/09 6:17,Product1,1200
1/2/09 4:53,Product1,1200
1/2/09 13:08,Product1,1200
1/3/09 14:44,Product1,1200
1/4/09 12:56,Product2,3600
1/4/09 13:19,Product1,1200
1/4/09 20:11,Product1,1200
1/2/09 20:09,Product1,1200
1/4/09 13:17,Product1,1200
1/4/09 14:11,Product1,1200
1/5/09 2:42,Product1,1200
1/5/09 5:39,Product1,1200
1/2/09 9:16,Product1,1200
1/5/09 10:08,Product1,1200
1/2/09 14:18,Product1,1200
1/4/09 1:05,Product1,1200
1/5/09 11:37,Product1,1200
1/6/09 5:02,Product1,1200
1/6/09 7:45,Product2,3600
1/2/09 7:35,Product1,1200
1/6/09 12:56,Product1,1200
1/1/09 11:05,Product1,1200
1/5/09 4:10,Product1,1200
1/6/09 7:18,Product1,1200
1/2/09 1:11,Product1,1200
1/1/09 2:24,Product1,1200
1/7/09 8:08,Product1,1200
1/2/09 2:57,Product1,1200
1/1/09 20:21,Product1,1200
1/8/09 0:42,Product1,1200
1/8/09 3:56,Product1,1200
1/8/09 3:16,Product1,1200
1/8/09 1:59,Product1,1200
1/3/09 9:03,Product1,1200
1/5/09 13:17,Product1,1200
1/6/09 7:46,Product1,1200
1/5/09 20:00,Product2,3600
1/8/09 16:24,Product1,1200
1/9/09 6:39,Product1,1200
1/6/09 22:19,Product2,3600
1/6/09 23:00,Product2,3600
1/7/09 7:44,Product1,1200
1/3/09 13:24,Product1,1200
1/7/09 15:12,Product2,3600
1/7/09 20:15,Product1,1200
1/3/09 10:11,Product2,3600
1/9/09 15:58,Product1,1200
1/3/09 13:11,Product1,1200
1/10/09 12:57,Product1,1200
1/10/09 14:43,Product1,1200
1/10/09 12:05,Product1,1200
1/6/09 1:20,Product1,1200
1/10/09 14:56,Product1,1200
1/7/09 10:01,Product1,1200
1/1/09 1:26,Product1,1200
1/11/09 2:04,Product1,1200
1/11/09 14:17,Product1,1200
1/10/09 21:38,Product1,1200
1/7/09 6:18,Product1,1200
1/4/09 8:39,Product2,3600
1/5/09 0:31,Product1,1200
1/2/09 6:07,Product1,1200
1/12/09 3:25,Product1,1200
1/4/09 13:56,Product1,1200
1/7/09 0:12,Product2,3600
1/12/09 5:18,Product1,1200
1/8/09 15:16,Product1,1200
1/11/09 11:33,Product1,1200
1/7/09 20:22,Product1,1200
1/2/09 22:00,Product1,1200
1/5/09 13:52,Product1,1200
1/8/09 20:32,Product1,1200
1/8/09 13:34,Product1,1200
1/11/09 13:08,Product1,1200
1/12/09 19:04,Product1,1200
1/12/09 13:41,Product1,1200
1/11/09 10:38,Product1,1200
1/13/09 5:57,Product1,1200
1/13/09 6:13,Product1,1200
1/8/09 13:14,Product1,1200
1/2/09 11:41,Product1,1200
1/7/09 19:50,Product1,1200
1/1/09 20:28,Product1,1200
1/3/09 15:22,Product1,1200
1/12/09 3:03,Product2,3600
1/5/09 8:58,Product2,3600
1/10/09 14:03,Product1,1200
1/13/09 11:26,Product1,1200
1/2/09 12:18,Product1,1200
1/14/09 4:54,Product1,1200
1/6/09 17:15,Product1,1200
1/3/09 13:56,Product1,1200
1/4/09 7:54,Product1,1200
1/12/09 7:28,Product1,1200
1/6/09 15:15,Product1,1200
1/13/09 23:56,Product1,1200
1/14/09 19:32,Product1,1200
1/6/09 21:13,Product1,1200
1/14/09 11:19,Product1,1200
1/13/09 19:39,Product1,1200
1/8/09 7:26,Product1,1200
1/15/09 2:40,Product1,1200
1/12/09 6:40,Product1,1200
1/15/09 3:43,Product1,1200
1/5/09 15:39,Product1,1200
1/10/09 5:21,Product1,1200
1/15/09 4:12,Product1,1200
1/12/09 11:48,Product1,1200
1/6/09 10:48,Product1,1200
1/14/09 9:10,Product1,1200
1/14/09 22:44,Product1,1200
1/6/09 7:23,Product1,1200
1/1/09 5:04,Product1,1200
1/15/09 11:56,Product1,1200
1/15/09 11:58,Product1,1200
1/12/09 9:43,Product1,1200
1/15/09 12:33,Product1,1200
1/14/09 11:35,Product1,1200
1/14/09 15:40,Product1,1200
1/3/09 11:08,Product1,1200
1/12/09 1:37,Product1,1200
1/16/09 7:21,Product1,2100
1/15/09 12:54,Product1,1200
1/7/09 7:19,Product1,1200
1/3/09 9:56,Product1,1200
1/16/09 17:41,Product1,1200
1/5/09 5:33,Product1,1200
1/2/09 0:50,Product1,1200
1/13/09 1:51,Product1,1200
1/15/09 10:24,Product1,1200
1/11/09 8:59,Product1,1200
1/15/09 15:56,Product1,1200
1/1/09 12:19,Product1,1200
1/6/09 14:03,Product1,1200
1/9/09 15:32,Product1,1200
1/17/09 12:59,Product1,1200
1/12/09 12:37,Product1,1200
1/4/09 7:43,Product1,1200
1/17/09 16:22,Product1,1200
1/1/09 3:51,Product1,1200
1/18/09 5:27,Product1,1200
1/18/09 5:15,Product1,1200
1/1/09 1:51,Product1,1200
1/18/09 6:30,Product1,1200
1/11/09 10:51,Product1,1200
1/4/09 17:02,Product1,1200
1/17/09 1:23,Product1,1200
1/18/09 2:16,Product1,1200
1/18/09 11:34,Product2,3600
1/18/09 4:38,Product1,1200
1/18/09 13:26,Product3,7500
1/18/09 11:53,Product1,1200
1/18/09 12:04,Product1,1200
1/13/09 19:54,Product1,1200
1/5/09 21:06,Product1,1200
1/14/09 6:32,Product1,1200
1/4/09 23:48,Product1,1200
1/18/09 16:32,Product2,3600
1/18/09 17:04,Product2,3600
1/18/09 17:20,Product2,3600
1/18/09 17:39,Product2,3600
1/11/09 11:20,Product1,1200
1/13/09 20:59,Product1,1200
1/12/09 16:50,Product1,1200
1/12/09 15:12,Product1,1200
1/6/09 12:27,Product1,1200
1/9/09 18:52,Product1,1200
1/18/09 23:17,Product1,1200
1/7/09 8:21,Product1,1200
1/3/09 9:54,Product1,1200
1/5/09 19:37,Product1,1200
1/4/09 12:49,Product1,1200
1/8/09 11:55,Product2,3600
1/14/09 18:21,Product1,1200
1/11/09 19:01,Product1,1200
1/14/09 5:20,Product2,3600
1/15/09 8:07,Product1,1200
1/15/09 8:10,Product1,1200
1/2/09 17:45,Product1,1200
1/19/09 16:10,Product1,1200
1/19/09 16:55,Product1,1200
1/10/09 17:41,Product1,1200
1/18/09 13:49,Product2,3600
1/15/09 5:47,Product1,1200
1/19/09 23:06,Product1,1200
1/19/09 11:12,Product1,1200
1/4/09 1:38,Product1,1200
1/20/09 3:11,Product1,1200
1/3/09 10:52,Product1,1200
1/20/09 5:24,Product3,7500
1/20/09 6:03,Product1,1200
1/10/09 11:37,Product1,1200
1/20/09 5:50,Product1,1200
1/19/09 16:32,Product1,1200
1/18/09 10:42,Product1,1200
1/7/09 6:11,Product2,3600
1/3/09 8:29,Product1,1200
1/1/09 2:09,Product1,1200
1/20/09 12:34,Product1,1200
1/20/09 3:51,Product1,1200
1/15/09 11:26,Product1,1200
1/5/09 16:55,Product1,1200
1/12/09 19:47,Product1,1200
1/4/09 19:20,Product1,1200
1/10/09 8:33,Product2,3600
1/9/09 14:51,Product1,1200
1/16/09 2:41,Product3,7500
1/16/09 18:36,Product1,1200
1/20/09 8:10,Product1,1200
1/6/09 12:45,Product2,3600
1/10/09 8:13,Product1,1200
1/7/09 14:15,Product1,1200
1/8/09 15:27,Product1,1200
1/21/09 11:36,Product1,1200
1/21/09 14:06,Product1,1200
1/2/09 2:28,Product1,1200
1/19/09 19:07,Product1,1200
1/18/09 6:27,Product1,1200
1/20/09 11:58,Product1,1200
1/20/09 16:32,Product1,1200
1/1/09 7:09,Product1,1200
1/21/09 14:55,Product1,1200
1/7/09 22:29,Product1,1200
1/11/09 22:22,Product2,3600
1/21/09 14:25,Product1,1200
1/18/09 16:50,Product1,1200
1/21/09 12:08,Product2,3600
1/22/09 6:41,Product1,1200
1/12/09 9:23,Product1,1200
1/22/09 8:23,Product1,1200
1/3/09 6:41,Product2,3600
1/1/09 12:20,Product2,3600
1/4/09 22:00,Product2,3600
1/21/09 2:15,Product1,1200
1/1/09 14:22,Product1,1200
1/16/09 1:07,Product2,3600
1/20/09 8:51,Product1,1200
1/4/09 9:02,Product1,1200
1/6/09 8:34,Product1,1200
1/8/09 4:16,Product1,1200
1/23/09 3:33,Product2,3600
1/6/09 4:18,Product1,1200
1/23/09 3:30,Product1,1200
1/10/09 4:04,Product1,1200
1/5/09 2:57,Product3,7500
1/21/09 14:15,Product1,1200
1/21/09 6:39,Product1,1200
1/19/09 8:14,Product1,1200
1/23/09 8:00,Product1,1200
1/22/09 23:35,Product1,1200
1/14/09 3:09,Product1,1200
1/16/09 1:51,Product1,1200
1/1/09 6:29,Product1,1200
1/21/09 7:59,Product1,1200
1/23/09 7:37,Product2,3600
1/18/09 14:39,Product1,1200
1/24/09 9:01,Product2,3600
1/15/09 1:41,Product1,1200
1/17/09 7:23,Product1,1200
1/23/09 11:37,Product1,1200
1/19/09 15:02,Product1,1200
1/11/09 7:10,Product2,3600
1/10/09 3:28,Product1,1200
1/7/09 19:03,Product2,3600
1/17/09 14:02,Product1,1200
1/25/09 0:09,Product1,1200
1/9/09 14:27,Product1,1200
1/9/09 14:32,Product1,1200
1/11/09 15:59,Product1,1200
1/6/09 14:38,Product2,3600
1/6/09 9:52,Product1,1200
1/1/09 9:21,Product1,1200
1/3/09 7:58,Product1,1200
1/11/09 11:36,Product1,1200
1/13/09 14:53,Product1,1200
1/1/09 10:06,Product2,3600
1/16/09 5:07,Product1,1200
1/6/09 16:37,Product1,1200
1/18/09 17:21,Product1,1200
1/13/09 15:18,Product1,1200
1/24/09 8:21,Product1,1200
1/24/09 8:25,Product1,1200
1/18/09 13:06,Product1,1200
1/22/09 18:44,Product1,1200
1/8/09 8:58,Product1,1200
1/4/09 9:54,Product1,1200
1/13/09 20:22,Product1,1200
1/9/09 10:22,Product1,1200
1/5/09 12:28,Product1,1200
1/26/09 3:43,Product1,1200
1/26/09 3:49,Product2,3600
1/11/09 13:16,Product2,3600
1/22/09 15:32,Product1,1200
1/9/09 14:25,Product1,1200
1/21/09 11:28,Product1,800
1/1/09 14:19,Product1,1200
1/26/09 4:30,Product1,1200
1/7/09 4:45,Product1,1200
1/11/09 12:12,Product1,1200
1/26/09 10:24,Product1,1200
1/26/09 8:58,Product1,1200
1/7/09 17:51,Product1,1200
1/18/09 20:16,Product1,1200
1/13/09 9:51,Product1,1200
1/24/09 18:43,Product1,1200
1/5/09 0:46,Product1,1200
1/9/09 1:12,Product1,1200
1/26/09 6:25,Product1,1200
1/21/09 16:57,Product1,1200
1/5/09 5:33,Product1,1200
1/27/09 5:10,Product1,1200
1/7/09 8:00,Product1,1200
1/20/09 7:08,Product2,3600
1/27/09 2:26,Product1,1200
1/5/09 6:14,Product1,1200
1/13/09 8:11,Product2,3600
1/10/09 9:18,Product1,1200
1/8/09 18:52,Product1,1200
1/12/09 10:06,Product1,1200
1/1/09 19:25,Product1,1200
1/27/09 15:28,Product1,1200
1/2/09 18:43,Product1,1200
1/8/09 18:41,Product1,1200
1/4/09 18:34,Product1,1200
1/25/09 8:32,Product1,1200
1/23/09 22:19,Product1,1200
1/7/09 10:03,Product1,1200
1/18/09 3:46,Product1,1200
1/28/09 0:40,Product1,1200
1/2/09 15:18,Product1,1200
1/18/09 13:59,Product1,1200
1/16/09 9:54,Product1,1200
1/28/09 7:07,Product1,1200
1/28/09 7:31,Product1,1200
1/18/09 12:32,Product1,1200
1/13/09 14:05,Product1,1200
1/28/09 7:49,Product1,1200
1/28/09 3:07,Product1,1200
1/12/09 15:16,Product1,1200
1/6/09 11:17,Product2,3600
1/23/09 9:49,Product1,1200
1/24/09 4:01,Product1,1200
1/25/09 18:21,Product1,1200
1/15/09 10:51,Product1,1200
1/2/09 5:14,Product1,1200
1/9/09 10:35,Product2,3600
1/4/09 10:16,Product1,1200
1/2/09 12:16,Product1,1200
1/28/09 12:31,Product1,1200
1/14/09 12:07,Product1,1200
1/16/09 7:20,Product2,3600
1/6/09 9:55,Product1,1200
1/7/09 12:55,Product1,1200
1/19/09 12:14,Product1,1200
1/13/09 15:19,Product2,3600
1/18/09 8:56,Product1,1200
1/4/09 17:54,Product1,1200
1/5/09 13:46,Product1,1200
1/5/09 10:49,Product2,3600
1/12/09 18:24,Product1,1200
1/18/09 4:01,Product1,1200
1/16/09 10:58,Product1,1200
1/13/09 8:20,Product1,1200
1/12/09 1:42,Product1,1200
1/28/09 13:07,Product1,1200
1/29/09 5:43,Product1,1200
1/29/09 5:30,Product1,1200
1/13/09 18:08,Product1,1200
1/9/09 15:24,Product1,1200
1/23/09 15:33,Product1,1200
1/29/09 12:28,Product1,1200
1/13/09 11:31,Product1,1200
1/29/09 10:09,Product2,3600
1/29/09 15:08,Product1,1200
1/4/09 5:12,Product1,1200
1/22/09 22:16,Product2,3600
1/5/09 19:26,Product1,1200
1/11/09 12:22,Product1,1200
1/2/09 9:31,Product1,1200
1/5/09 11:21,Product1,1200
1/17/09 9:49,Product1,1200
1/28/09 1:38,Product1,1200
1/19/09 10:32,Product1,1200
1/26/09 12:05,Product1,1250
1/7/09 18:53,Product1,1200
1/26/09 11:38,Product1,1200
1/8/09 13:19,Product1,1200
1/11/09 14:56,Product1,1200
1/30/09 20:36,Product1,1200
1/1/09 8:09,Product1,1200
1/17/09 11:09,Product1,1200
1/31/09 7:22,Product1,1200
1/31/09 9:12,Product1,1200
1/31/09 8:56,Product1,1200
1/31/09 9:00,Product1,1200
1/11/09 14:07,Product1,1200
1/1/09 12:25,Product2,3600
1/31/09 11:14,Product2,3600
1/2/09 9:57,Product1,1200
1/4/09 13:20,Product1,1200
1/22/09 12:32,Product1,1200
1/18/09 6:09,Product1,1200
1/8/09 0:04,Product1,1200
1/24/09 7:14,Product1,1200
1/24/09 11:05,Product1,1200
1/6/09 15:12,Product1,1200
1/24/09 17:06,Product1,1200
1/3/09 9:58,Product1,1200
1/9/09 16:35,Product1,1200
1/12/09 14:50,Product1,1200
1/7/09 13:49,Product1,1200
1/9/09 19:41,Product1,1200
1/26/09 4:53,Product1,1200
1/23/09 21:41,Product1,1200
1/6/09 16:07,Product1,1200
1/10/09 7:55,Product1,1200
1/28/09 20:44,Product1,1200
1/9/09 3:38,Product1,1200
1/19/09 8:52,Product1,1200
1/15/09 7:26,Product1,1200
1/30/09 19:12,Product1,1200
1/5/09 12:41,Product1,1200
1/28/09 20:59,Product1,1200
1/10/09 21:36,Product1,1200
1/25/09 19:59,Product1,1200
1/7/09 8:03,Product1,1200
1/21/09 9:07,Product1,1200
1/23/09 14:43,Product1,1200
1/5/09 13:07,Product1,1200
1/6/09 3:39,Product1,1200
1/15/09 15:26,Product1,1200
1/23/09 4:47,Product1,1200
1/12/09 10:05,Product2,3600
1/30/09 5:13,Product1,1200
1/14/09 10:32,Product3,7500
1/12/09 8:13,Product1,1200
1/27/09 8:11,Product1,1200
1/30/09 17:33,Product1,1200
1/15/09 9:52,Product1,1200
1/13/09 11:54,Product1,1200
1/21/09 11:00,Product1,1200
1/16/09 11:49,Product1,1200
1/1/09 9:35,Product1,1200
1/13/09 5:58,Product1,1200
1/6/09 16:08,Product2,3600
1/5/09 10:25,Product1,1200
1/4/09 21:08,Product1,1200
1/12/09 20:43,Product1,1200
1/17/09 3:22,Product1,1200
1/18/09 11:17,Product1,1200
1/27/09 9:01,Product1,1200
1/8/09 8:11,Product1,1200
1/26/09 23:28,Product2,3600
1/10/09 21:35,Product1,1200
1/11/09 6:01,Product1,1200
1/19/09 14:53,Product1,1200
1/22/09 7:14,Product1,1200
1/15/09 8:12,Product1,1200
1/7/09 6:33,Product1,1200
1/12/09 8:05,Product1,1200
1/28/09 13:03,Product2,3600
1/25/09 8:54,Product1,1200
1/5/09 10:08,Product1,1200
1/5/09 19:29,Product1,1200
1/7/09 19:06,Product2,3600
1/23/09 11:33,Product1,1200
1/3/09 21:11,Product1,1200
1/11/09 17:28,Product1,1200
1/21/09 20:18,Product1,1200
1/24/09 10:23,Product1,1200
1/7/09 14:55,Product1,1200
1/29/09 10:38,Product1,1200
1/8/09 14:04,Product1,1200
1/31/09 21:50,Product1,1200
1/1/09 16:00,Product1,1200
1/30/09 13:13,Product1,1200
1/27/09 16:50,Product1,1200
1/30/09 7:42,Product1,250
1/17/09 15:48,Product2,3600
1/12/09 11:40,Product2,3600
1/30/09 20:27,Product1,1200
1/27/09 18:35,Product1,1200
1/16/09 12:47,Product1,1200
1/2/09 2:50,Product1,1200
1/21/09 5:39,Product1,1200
1/28/09 1:28,Product1,1200
1/8/09 13:33,Product1,1200
1/22/09 12:09,Product1,1200
1/20/09 8:23,Product1,1200
1/2/09 7:47,Product1,1200
1/11/09 4:55,Product1,1200
1/23/09 7:47,Product1,1800
1/21/09 23:19,Product1,1200
1/11/09 4:29,Product3,7500
1/11/09 4:39,Product1,1200
1/10/09 8:13,Product1,1200
1/22/09 12:55,Product1,1200
1/17/09 15:00,Product1,1200
1/4/09 14:06,Product1,1200
1/30/09 17:09,Product1,1200
